CANDIDATO,NÚMERO,PARTIDO,VOTOS
Roger Lin,19100,PODE,4373
Jonas Camisa Nova,25100,DEM,4365
Marcelo Juiz,25555,DEM,4253
Ricardo Holz,19011,PODE,4236
Neudo,14900,PTB,4221
Luli Sarraf,43004,PV,4200
Aline Torres,15900,MDB,4200
Doutor Walmir Rigueira,17011,PSL,4191
Rubão,22091,PL,4090
Samuel Emílio,40040,PSB,4090
Fran Kauê,19010,PODE,4005
Amanda Vettorazzo,51500,PATRIOTA,3978
Capitão America De Paula,15040,MDB,3945
Bruno Todos P Acessibilidade,45177,PSDB,3925
Rafael Romero,30030,NOVO,3915
Edson Marques,15815,MDB,3877
Buiu Do Povo,19888,PODE,3869
Mauricio Martins,15111,MDB,3797
Diego Hypolito,40004,PSB,3786
Ataide Da Bancada Resista,50000,PSOL,3776
Turco Loco,45288,PSDB,3747
Vinicius Schaefer,45400,PSDB,3596
Dr Bactéria,55888,PSD,3569
Pagu Rodrigues,13113,PT,3560
Jailson,40020,PSB,3550
Monica Cury,30010,NOVO,3541
Matheus Serafim,11000,PP,3495
Comandante Braga,51153,PATRIOTA,3467
Ernesto Teixeira,19910,PODE,3450
Renata Banhara,10180,REPUBLICANOS,3415
Waldir Lima,20222,PSC,3395
Tiago Silva,15333,MDB,3381
Luis Sobral,55321,PSD,3364
Coronel Velozo,17777,PSL,3335
Douglas Buscaratto,25055,DEM,3334
Pavinatto,51111,PATRIOTA,3298
Douglas Balbino,51333,PATRIOTA,3295
Amauri Silva,20633,PSC,3271
Gari Ester Lopes,25999,DEM,3099
Zé Nildo Com Coletivo Dpq,50456,PSOL,3084
Marilda Coberarte,10001,REPUBLICANOS,3064
Messina,55155,PSD,3060
Jean Madeira,25321,DEM,3059
Maria Saito,45007,PSDB,3044
Paraná Da Padoca,19191,PODE,3011
Prof Herbert Melo,40000,PSB,3006
Coronel José Roberto,45190,PSDB,2989
Mortadela,19212,PODE,2989
Dinei,10999,REPUBLICANOS,2960
Festival,45680,PSDB,2945
Ganja Coletiva,50420,PSOL,2891
Raf Fayad,11111,PP,2884
Alan Quintas,17222,PSL,2863
Divaldo Rosa,10200,REPUBLICANOS,2845
Cida Magrini,30001,NOVO,2743
Capitão Camasano,17181,PSL,2728
Edu Leporo,25800,DEM,2718
Sonia Coelho,13013,PT,2717
Prof Roberto Bolonhini Jr,40234,PSB,2711
Leiliane Mulher Maravilha,22777,PL,2711
Chiquinho Timóteo,14447,PTB,2659
Camilinho Bruno,17077,PSL,2591
Ale Soares,13456,PT,2587
Dra Tania Gasparetto,55001,PSD,2582
João Ortega,30100,NOVO,2563
Jair But But,50122,PSOL,2544
Chiquinho Noventa,25090,DEM,2528
Carlos Fabrini,51447,PATRIOTA,2519
Paulo Cahim,25654,DEM,2502
Ednelson Pacheco,22315,PL,2452
Rute Alonso,50250,PSOL,2439
Flavio Pires,25500,DEM,2435
Dra Patrícia Alonso,10318,REPUBLICANOS,2359
Naomy Schölling,30222,NOVO,2352
Daniel Da Orpas,15015,MDB,2324
Cleber Araújo,19012,PODE,2306
Isabel Marcelino,45019,PSDB,2303
Cris Abreu,19789,PODE,2299
Miguel Gianetti,15800,MDB,2287
Alberto Ribeiro,14666,PTB,2277
Capitão Laroca,40193,PSB,2275
Pastor Campos,22999,PL,2268
Prof Victor,14211,PTB,2250
Rubia Mara,55005,PSD,2248
Lili,13130,PT,2242
Juan Soto,25157,DEM,2216
Coronel Falconi,11911,PP,2194
Leandro Silva,43300,PV,2180
José Denicio,25045,DEM,2179
Luciana Trindade,40180,PSB,2177
Victor Mionzinho,30333,NOVO,2171
Dr Basilio,40111,PSB,2165
Coronel Marcelino,10880,REPUBLICANOS,2144
Douglas Frente Democrática,13083,PT,2122
Edson Coqueiro,10800,REPUBLICANOS,2097
Delegada Mônica Gamboa,19180,PODE,2096
Nunes,14777,PTB,2094
Prof. Renato Santos,19007,PODE,2059
Cal,19555,PODE,2057
Edson Carneiro Índio,50600,PSOL,2055
Dra Márcia Tapigliani,19519,PODE,2043
Roberto Pires,55633,PSD,2037
Cecilia Lotufo Ecoletivo,50021,PSOL,2037
Adriana Zink,45745,PSDB,2036
Ricardo Granja,55007,PSD,2005
Rosmaninho,17123,PSL,1998
Andre Venturini,55522,PSD,1990
Monica Berbel,25077,DEM,1982
Cabo Rita Guedes,17021,PSL,1969
Favella,15123,MDB,1953
Maria Clara,50024,PSOL,1949
Emerson Macarrão,13626,PT,1931
Dalmo,40011,PSB,1913
Andre Silva,13213,PT,1885
Jackson Santos,45145,PSDB,1878
Robson Carneiro,11625,PP,1877
Airton Neves,22070,PL,1861
Aline Paganotti,45353,PSDB,1856
Angélica Lovatto,50550,PSOL,1840
Bispo Varotto,51777,PATRIOTA,1820
Geraldo Ribeiro,40026,PSB,1809
Sargento Paulo,17190,PSL,1797
Fábio Souza,11020,PP,1787
Chico Paiva,40800,PSB,1778
Tio Fio,10990,REPUBLICANOS,1777
Professor Maeda,19700,PODE,1769
Prof Xikão,13600,PT,1764
Professor Vladimir,19230,PODE,1764
Veterinário Raphael Hamaoui,19018,PODE,1763
Santana Líder Comunitário,19345,PODE,1756
Sargento Tonny Santos,10190,REPUBLICANOS,1755
Fabiana Camargo,30180,NOVO,1753
Edson Passos,30303,NOVO,1748
Alessa,50055,PSOL,1746
Alex Do Social,10217,REPUBLICANOS,1741
Luiz Da Paz,19911,PODE,1736
Professor Marcos,19666,PODE,1731
Everton Potência,22212,PL,1731
Giza Lemos,22345,PL,1715
Regina Capão,13123,PT,1713
Caio Japa Morfo,51999,PATRIOTA,1709
Mel Dourado,25377,DEM,1701
Leandro Jesus,20470,PSC,1675
Mesquita,25255,DEM,1670
Dr David Zylbergeld Neto,30018,NOVO,1656
Professor Bruno Crispim,50322,PSOL,1638
José Bispo,19900,PODE,1634
Adriana Pierin,19269,PODE,1625
Sheik Rodrigo,50171,PSOL,1623
Dr Marcelo,20123,PSC,1619
Rodrigo Lopes,30600,NOVO,1606
Pepe,55156,PSD,1596
Mestre Serginho,14325,PTB,1589
Givanildo Gonçalves,13133,PT,1588
Jonatan Oliveira,10111,REPUBLICANOS,1570
Daniel Vieira,20555,PSC,1566
Prof Jose Carlos,19127,PODE,1559
Ewerton Carvalho,19319,PODE,1559
Cláudio Do Valença,19444,PODE,1552
Diego Monteiro,30730,NOVO,1540
Morgana Siqueira,45450,PSDB,1539
Wilians Buiu Eu Acredito,19400,PODE,1532
Paulo Roberto,17710,PSL,1527
Ailton Amaral,50123,PSOL,1527
Gabriella Bueno,45015,PSDB,1520
Odair Embalagens,15747,MDB,1517
Samuel Do Povo,15090,MDB,1503
Chiquinha Do Grajaú,11411,PP,1494
Adelson Coelho,45001,PSDB,1491
Sergio Shigeeda Ambientalista,19088,PODE,1489
Chicão,17327,PSL,1487
Elizete Miguez,15555,MDB,1470
Rogério Barrios,55777,PSD,1463
Airton Lopes,17111,PSL,1452
Professora Fernanda Alves,25179,DEM,1452
Marcos Antonio Coutinho,40101,PSB,1451
Irmã Anita,25300,DEM,1438
Clélia Gomes,19091,PODE,1438
Letícia Vasconcellos,51321,PATRIOTA,1437
Evando Reis,43000,PV,1435
Dr Manteiga,14181,PTB,1435
Fidel,40345,PSB,1427
Enfermeira Lucrecia,40555,PSB,1421
Coletivo Divercidadesp,50350,PSOL,1416
Fábio Teixeira,19234,PODE,1405
Elton Tony Pondé,55200,PSD,1405
Ismênio Dantas,45203,PSDB,1399
Andrézinho,20125,PSC,1397
Lais Taliberti,51011,PATRIOTA,1391
Marilandia Frazao Negras Vozes,13330,PT,1389
Serginho De Paula,25557,DEM,1388
Sargento Gledson,17090,PSL,1386
Fátima Barbosa,17251,PSL,1379
Professor Francisco José,19128,PODE,1378
Doutor Magrão,11300,PP,1363
Pedro Calmon,11500,PP,1358
Rui Torquato,50244,PSOL,1351
